city,temp_c,temp_f,feelslike_c,humidity,wind_kph,pressure_mb,cloud,uv,condition,temp_category,humidity_level,wind_level,cloud_level,timestamp,record_no,temp_change,trend,avg_temp,max_temp,min_temp,condition_count,most_common_condition,alerts
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:20:26,1,0,No previous data,22.0,22.0,22.0,1,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:20:33,2,0.0,Stable,22.0,22.0,22.0,2,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:20:39,3,0.0,Stable,22.0,22.0,22.0,3,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:20:45,4,0.0,Stable,22.0,22.0,22.0,4,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:20:52,5,0.0,Stable,22.0,22.0,22.0,5,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:20:59,6,0.0,Stable,22.0,22.0,22.0,6,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:21:05,7,0.0,Stable,22.0,22.0,22.0,7,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:21:12,8,0.0,Stable,22.0,22.0,22.0,8,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:21:18,9,0.0,Stable,22.0,22.0,22.0,9,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:21:25,10,0.0,Stable,22.0,22.0,22.0,10,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:21:31,11,0.0,Stable,22.0,22.0,22.0,11,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:21:37,12,0.0,Stable,22.0,22.0,22.0,12,Clear,No alert
